Compound_CID,Name,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count
6537973,f-16(Pesticide),528.5,227.0,868.0,1.5,36,4,14,8
181166,FB7 (pesticide),554.9,0.0,114.0,,16,0,0,1
3496,Glyphosate,169.07,107.0,162.0,-4.6,10,4,6,4
40326,Permethrin,391.3,35.5,521.0,6.5,26,0,3,7
2912,Cypermethrin,416.3,59.3,643.0,6.0,28,0,4,7
992,Pentachlorophenol,266.3,20.2,150.0,5.1,12,1,1,0
25429,Carbendazim,191.19,67.0,222.0,1.5,14,2,3,2
5853,Trichlorfon,257.43,55.8,183.0,0.5,12,1,4,3
12310947,Aldrin,364.9,0.0,481.0,4.5,18,0,0,0
5794,Piperonyl Butoxide,338.4,46.2,312.0,3.7,24,0,5,13
4130,Methyl Parathion,263.21,106.0,279.0,2.9,16,0,6,4
6720,Quintozene,295.3,45.8,219.0,4.2,14,0,2,0
991,Parathion,291.26,106.0,304.0,3.8,18,0,6,6
6950,Dinoseb,240.21,112.0,298.0,3.6,17,1,5,2
7017,"(1,1'-Biphenyl)-2-ol",170.21,20.2,149.0,3.1,13,1,1,1
34192,Thiobencarb,257.779,45.6,213.0,3.4,16,0,2,5
3118,Disulfoton,274.4,101.0,168.0,4.0,14,0,5,9
15910,Chlorothalonil,265.9,47.6,284.0,2.9,14,0,2,0
2268,Azinphos-Methyl,317.3,121.0,413.0,2.8,19,0,7,5
5125,Tribufos,314.5,93.0,179.0,3.2,17,0,4,12
4767,Phenothrin,350.4,35.5,512.0,6.2,26,0,3,7
3039,Dichlorvos,220.97,44.8,181.0,1.4,11,0,4,4
4944,Propoxur,209.24,47.6,206.0,1.5,15,1,3,4
3346,Fenthion,278.3,85.1,254.0,4.1,16,0,5,5
11442,Allethrins,302.4,43.4,573.0,4.8,22,0,3,6
36324,Amitraz,293.4,28.0,354.0,5.5,22,0,2,4
12541,Thiometon,246.4,101.0,146.0,2.7,12,0,5,7
7628,Boric Acid,61.84,60.7,8.0,,4,3,3,0
5216,Simazine,201.66,62.7,131.0,2.2,13,2,5,4
4115,Methoxychlor,345.6,18.5,279.0,5.1,21,0,2,4
31200,Fenitrothion,277.24,106.0,313.0,3.3,17,0,6,4
12901,Phosmet,317.3,113.0,399.0,2.8,19,0,6,5
23663539,Sodium pentachlorophenolate,288.3,23.1,155.0,,13,0,1,0
41428,Triclopyr,256.5,59.4,216.0,3.0,14,1,4,3
6758,Rotenone,394.4,63.2,664.0,4.1,29,0,6,3
10800,"2-Methyl-4,6-dinitrophenol",198.13,112.0,245.0,2.1,14,1,5,0
73665,Prochloraz,376.7,47.4,377.0,4.6,23,0,3,6
47866,Cyromazine,166.18,103.0,148.0,-0.2,12,3,6,2
6336,Myclobutanil,288.77,54.5,345.0,2.9,20,0,3,6
4685,"1,4-Dichlorobenzene",147.0,0.0,54.9,3.4,8,0,0,0
3286,Ethion,384.5,152.0,279.0,5.1,19,0,8,12
1486,"(2,4-Dichlorophenoxy)Acetic Acid",221.03,46.5,186.0,2.8,13,1,3,3
23668198,Fenaminosulf,251.24,93.5,318.0,,16,0,6,3
16248,Methiocarb,225.31,63.6,211.0,2.9,15,1,3,3
6294,"P,P'-ddd",320.0,0.0,218.0,6.2,18,0,0,3
5455,Thiram,240.4,121.0,158.0,1.7,12,0,4,3
3031,Dichlobenil,172.01,23.8,150.0,2.7,10,0,1,0
5392,Temephos,466.5,145.0,474.0,6.0,27,0,9,10
11167,Methyl isothiocyanate,73.12,44.5,44.0,0.9,4,0,2,0
2345,Benzyl Benzoate,212.24,26.3,213.0,4.0,16,0,2,4
40585,Deltamethrin,505.2,59.3,643.0,6.2,28,0,4,7
4420,Naled,380.78,44.8,206.0,2.5,13,0,4,5
6549,Linalool,154.25,20.2,154.0,2.7,11,1,1,4
73675,Flusilazole,315.39,30.7,333.0,,22,0,4,4
39385,Triadimefon,293.75,57.0,338.0,2.8,20,0,4,5
5053,Resmethrin,338.4,39.4,497.0,6.1,25,0,3,7
15558638,Bioallethrin,302.4,43.4,573.0,4.8,22,0,3,6
2513,Dimethylarsinic Acid,138.0,37.3,62.0,,5,1,2,0
6129,Carbaryl,201.22,38.3,230.0,2.4,15,1,2,2
54739,Imazaquin,311.33,91.7,545.0,2.5,23,2,5,3
5281873,Cyhalothrin,449.8,59.3,736.0,6.1,31,0,7,7
54678486,Warfarin,308.3,63.6,501.0,2.7,23,1,4,4
3032792,Thiophanate,370.5,165.0,434.0,3.3,24,4,6,6
3082,Dimethoate,229.3,105.0,191.0,0.8,12,1,5,5
104926,Cyfluthrin,434.3,59.3,679.0,6.2,29,0,5,7
4284,"N,N-diethyl-m-toluamide",191.27,20.3,187.0,2.0,14,0,1,3
9395,Paraoxon,275.19,90.6,300.0,2.0,18,0,6,6
5371562,Monocrotophos,223.16,73.9,267.0,-0.2,14,1,5,5
516902,Sodium Chlorate,106.44,57.2,49.8,,5,0,3,0
86287518,Imidacloprid,255.66,86.3,319.0,1.2,17,1,4,2
7239,"1,2-Dichlorobenzene",147.0,0.0,62.9,3.4,8,0,0,0
135491728,2-[1-[[[(2E)-3-chloro-2-propen-1-yl]oxy]imino]propyl]-5-[2-(ethylthio)propyl]-3-hydroxy-2-cyclohexen-1-one,359.9,84.2,488.0,3.8,23,1,5,9
15331,Daminozide,160.17,69.6,156.0,-3.1,11,2,4,4
3017,Diazinon,304.35,85.6,307.0,3.8,19,0,6,7
4169,Metolachlor,283.79,29.5,285.0,3.1,19,0,2,6
8370,Hexachlorobenzene,284.8,0.0,104.0,5.7,12,0,0,0
